v,e
10,17
11,19
12,21
13,23
14,25
15,27
16,29
17,31
18,33
19,35
20,37
21,39
22,41
23,43
24,45
25,47
26,49
27,51
28,53
29,55
30,57
31,59
32,61
33,63
34,65
35,67
36,69
37,71
38,73
39,75
40,77
41,79
42,81
43,83
44,85
45,87
46,89
47,91
48,93
49,95
50,97
51,99
52,101
53,103
54,105
55,107
56,109
57,111
58,113
59,115
60,117
61,119
62,121
63,123
64,125
65,127
66,129
67,131
68,133
69,135
70,137
71,139
72,141
73,143
74,145
75,147
76,149
77,151
78,153
79,155
80,157
81,159
82,161
83,163
84,165
85,167
86,169
87,171
88,173
89,175
90,177
91,179
92,181
93,183
94,185
95,187
96,189
97,191
98,193
99,195
100,197
110,217
120,237
130,257
140,277
150,297
160,317
170,337
180,357
190,376
200,397
210,417
220,437
230,457
240,477
250,497
260,517
270,537
280,557
290,577
300,597
310,617
320,637
330,657
340,677
350,697
360,717
370,737
380,757
390,777
400,797
410,817
420,837
430,857
440,877
450,897
460,917
470,937
480,957
490,977
500,997
510,1017
520,1037
530,1057
540,1077
550,1097
560,1117
570,1137
580,1157
590,1177
600,1197
610,1217
620,1237
630,1257
640,1277
650,1297
660,1317
670,1337
680,1357
690,1377
700,1397
710,1417
720,1437
730,1457
740,1477
750,1497
760,1517
770,1537
780,1557
790,1577
800,1597
810,1617
820,1637
830,1657
840,1677
850,1697
860,1717
870,1737
880,1757
890,1777
900,1797
910,1817
920,1837
930,1857
940,1877
950,1897
960,1917
970,1937
980,1957
990,1977
1000,1997
1100,2197
1200,2397
1300,2597
1400,2797
1500,2997
1600,3197
1700,3397
1800,3597
1900,3797
2000,3997
2100,4197
2200,4397
2300,4597
2400,4797
2500,4997
2600,5197
2700,5396
2800,5597
2900,5797
3000,5997
3100,6197
3200,6397
3300,6597
3400,6797
3500,6997
3600,7197
3700,7397
3800,7597
3900,7797
4000,7997
4100,8197
4200,8397
4300,8597
4400,8797
4500,8997
4600,9197
4700,9397
4800,9597
4900,9797
5000,9997
5100,10197
5200,10397
5300,10597
5400,10797
5500,10997
5600,11196
5700,11397
5800,11597
5900,11797
6000,11997
6100,12197
6200,12397
6300,12597
6400,12797
6500,12997
6600,13197
6700,13397
6800,13597
6900,13797
7000,13997
7100,14197
7200,14397
7300,14597
7400,14797
7500,14997
7600,15196
7700,15397
7800,15597
7900,15797
8000,15997
8100,16197
8200,16397
8300,16597
8400,16797
8500,16997
8600,17197
8700,17397
8800,17596
8900,17797
9000,17997
9100,18197
9200,18397
9300,18597
9400,18797
9500,18997
9600,19197
9700,19397
9800,19597
9900,19797
10000,19997
11000,21997
12000,23997
13000,25997
14000,27997
15000,29997
16000,31997
17000,33997
18000,35996
19000,37997
20000,39997
21000,41997
22000,43997
23000,45997
24000,47997
25000,49997
26000,51997
27000,53997
28000,55997
29000,57997
30000,59997
31000,61997
32000,63997
33000,65997
34000,67997
35000,69997
36000,71997
37000,73997
38000,75997
39000,77997
40000,79997
41000,81997
42000,83997
43000,85997
44000,87997
45000,89997
46000,91997
47000,93997
48000,95997
49000,97997
50000,99997
51000,101997
52000,103997
53000,105997
54000,107997
55000,109997
56000,111997
57000,113997
58000,115997
59000,117997
60000,119997
61000,121997
62000,123997
63000,125997
64000,127997
65000,129997
66000,131997
67000,133997
68000,135997
69000,137997
70000,139997
71000,141997
72000,143997
73000,145997
74000,147997
75000,149996
76000,151996
77000,153997
78000,155997
79000,157997
80000,159997
81000,161997
82000,163997
83000,165997
84000,167997
85000,169997
86000,171997
87000,173997
88000,175997
89000,177997
90000,179997
91000,181997
92000,183996
93000,185997
94000,187997
95000,189997
96000,191997
97000,193997
98000,195997
99000,197997
100000,199997
110000,219997
120000,239997
130000,259997
140000,279997
150000,299997
160000,319997
170000,339997
180000,359997
190000,379996
200000,399997
210000,419997
220000,439997
230000,459997
240000,479997
250000,499997
260000,519997
270000,539997
280000,559997
290000,579997
300000,599997
310000,619997
320000,639997
330000,659997
340000,679997
350000,699997
360000,719997
370000,739997
380000,759997
390000,779997
400000,799997
410000,819997
420000,839997
430000,859997
440000,879997
450000,899997
460000,919997
470000,939997
480000,959997
490000,979997
500000,999997
510000,1019997
520000,1039997
530000,1059997
540000,1079997
550000,1099997
560000,1119997
570000,1139997
580000,1159997
590000,1179997
600000,1199997
610000,1219997
620000,1239997
630000,1259997
640000,1279997
650000,1299997
660000,1319997
670000,1339997
680000,1359997
690000,1379997
700000,1399997
710000,1419997
720000,1439997
730000,1459997
740000,1479997
750000,1499997
760000,1519997
770000,1539997
780000,1559997
790000,1579997
800000,1599997
810000,1619997
820000,1639997
830000,1659997
840000,1679997
850000,1699997
860000,1719997
870000,1739997
880000,1759997
890000,1779997
900000,1799997
910000,1819997
920000,1839997
930000,1859997
940000,1879996
950000,1899997
960000,1919997
970000,1939997
980000,1959997
990000,1979997
1000000,1999997
